15-Feb-25 19:27:26 - Length of trainig data is  2119719
15-Feb-25 19:27:31 - Vocaab training legth to 2119719
15-Feb-25 19:27:31 - Training Non contextual tokeniser
15-Feb-25 19:27:32 - Training of Vocabulary complete
15-Feb-25 19:27:32 - Sentence: The Cat sat on the Fence
15-Feb-25 19:27:32 - Tokens:  ['The▁', 'C', 'at▁', 'sat▁', 'on▁', 'the▁', 'F', 'en', 'ce▁']
15-Feb-25 19:27:32 - Token IDs: [50, 1972, 53, 1106, 58, 15, 1971, 23, 122]
15-Feb-25 19:27:32 - Token folder already exisitng: ./train_tokens Not overwriting
15-Feb-25 19:27:32 - vocab_size=2000 embedding_dim/d_model=512
15-Feb-25 19:27:33 - Training model...
15-Feb-25 19:29:12 - [Epoch=1 | Batch=7125] loss=4.9727
15-Feb-25 19:29:13 - [Epoch=1 | Batch=7150] loss=4.9054
15-Feb-25 19:29:13 - [Epoch=1 | Batch=7175] loss=4.5772
15-Feb-25 19:29:13 - [Epoch=1 | Batch=7200] loss=4.7534
15-Feb-25 19:29:14 - [Epoch=1 | Batch=7225] loss=4.6473
15-Feb-25 19:29:14 - [Epoch=1 | Batch=7250] loss=4.6848
15-Feb-25 19:29:14 - [Epoch=1 | Batch=7275] loss=4.6601
15-Feb-25 19:29:15 - [Epoch=1 | Batch=7300] loss=4.6910
15-Feb-25 19:29:15 - [Epoch=1 | Batch=7325] loss=4.6647
15-Feb-25 19:29:15 - [Epoch=1 | Batch=7350] loss=4.6731
15-Feb-25 19:29:16 - [Epoch=1 | Batch=7375] loss=4.5613
15-Feb-25 19:29:16 - [Epoch=1 | Batch=7400] loss=4.6104
15-Feb-25 19:29:16 - [Epoch=1 | Batch=7425] loss=4.6821
15-Feb-25 19:29:17 - [Epoch=1 | Batch=7450] loss=4.6636
15-Feb-25 19:29:17 - [Epoch=1 | Batch=7475] loss=4.5571
15-Feb-25 19:29:17 - [Epoch=1 | Batch=7500] loss=4.8778
